編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXPMLNLRHPFFBH37CB,坡道平面,1350000,30.80,地下四樓
RPOPMLNLRHPFFBH09CB,坡道平面,1250000,30.80,地下五樓含以下
RPUPMLNLRHPFFBH07CB,坡道平面,1400000,30.80,地下四樓
RPXOMLNLRHPFFBH27CB,坡道平面,1300000,30.80,地下五樓含以下
RPQPMLNLRHPFFBH66CB,坡道平面,1350000,30.80,地下四樓
RPRPMLNLRHPFFBH76CB,坡道平面,1370000,30.80,地下四樓
RPVPMLNLRHPFFBH17CB,坡道平面,1100000,30.80,地下五樓含以下
RPWOMLNLRHPFFBH17CB,坡道平面,1150000,30.80,地下五樓含以下
RPPPMLNLRHPFFBH56CB,坡道平面,1150000,30.80,地下五樓含以下
RPPQMLNLRHPFFBH66CB,坡道平面,1200000,30.80,地下四樓
RPWPMLNLRHPFFBH27CB,坡道平面,1200000,30.80,地下四樓
RPOQMLNLRHPFFBH56CB,坡道平面,1350000,30.80,地下四樓
RPSQMLNLRHPFFBH96CB,坡道平面,1250000,30.80,地下五樓含以下
RPXQMLNLRHPFFBH47CB,坡道平面,1350000,30.80,地下四樓
RPQQMLNLRHPFFBH76CB,坡道平面,1200000,30.80,地下五樓含以下
RPTQMLNLRHPFFBH07CB,坡道平面,1300000,30.80,地下四樓
RPRQMLNLRHPFFBH86CB,坡道平面,1250000,30.80,地下四樓
RPORMLNLRHPFFBH66CB,坡道平面,1250000,30.80,地下五樓含以下
RPPRMLNLRHPFFBH76CB,坡道平面,1160000,30.80,地下五樓含以下
RPRRMLNLRHPFFBH96CB,坡道平面,1100000,30.80,地下五樓含以下
RPWRMLNLRHPFFBH47CB,坡道平面,1150000,30.80,地下五樓含以下
RPQSMLNLRHPFFBH96CB,坡道平面,1200000,30.80,地下五樓含以下
RPOSMLNLRHPFFBH76CB,坡道平面,1100000,30.80,地下五樓含以下
RPSSMLNLRHPFFBH17CB,坡道平面,1300000,30.80,地下四樓
